image_id,image_name,study_id,patient_id,patient_key,pair_key,frame_num,contrast,relative_path,file_exists,load_success,error_message,blur_score,brightness_mean,brightness_std,intensity_min,intensity_max,contrast_std,edge_density,width,height
img_cde7df900a2d,mar2020_013_2_0.jpg,mar2020,013,mar2020_013,mar2020_013_2,2,brightfield,mar2020/mar2020_images/mar2020_013_2_0.jpg,True,True,,96.80453491210938,48.70998001098633,22.782262802124023,5.0,255.0,8.53972053527832,0.04035780164930555,4032,3024
img_17efec60e31c,mar2020_013_2_2.jpg,mar2020,013,mar2020_013,mar2020_013_2,2,darkfield,mar2020/mar2020_images/mar2020_013_2_2.jpg,True,True,,112.99618530273438,153.57408142089844,51.83397674560547,7.0,235.0,8.273529052734375,0.0864551685474537,4032,3024
img_5f43db68b73c,mar2020_014_0_0.jpg,mar2020,014,mar2020_014,mar2020_014_0,0,brightfield,mar2020/mar2020_images/mar2020_014_0_0.jpg,True,True,,18.122156143188477,37.855125427246094,40.016502380371094,1.0,255.0,3.169332265853882,0.051689995659722224,4032,3024
img_92462801c532,mar2020_014_0_2.jpg,mar2020,014,mar2020_014,mar2020_014_0,0,darkfield,mar2020/mar2020_images/mar2020_014_0_2.jpg,True,True,,46.546905517578125,155.56829833984375,52.86511993408203,0.0,247.0,5.370537281036377,0.10002531828703703,4032,3024
img_d6cba908e6f8,mar2020_014_1_0.jpg,mar2020,014,mar2020_014,mar2020_014_1,1,brightfield,mar2020/mar2020_images/mar2020_014_1_0.jpg,True,True,,11.561957359313965,20.24563980102539,8.957620620727539,1.0,253.0,2.485929250717163,0.017768012152777776,4032,3024
img_87c8b755d856,mar2020_014_1_2.jpg,mar2020,014,mar2020_014,mar2020_014_1,1,darkfield,mar2020/mar2020_images/mar2020_014_1_2.jpg,True,True,,19.12007713317871,164.63467407226562,49.57268142700195,0.0,242.0,3.3678030967712402,0.0928955078125,4032,3024
img_a1409eac876e,mar2020_014_2_0.jpg,mar2020,014,mar2020_014,mar2020_014_2,2,brightfield,mar2020/mar2020_images/mar2020_014_2_0.jpg,True,True,,11.021037101745605,26.086177825927734,9.687644958496094,1.0,254.0,3.0957345962524414,0.016337076822916668,4032,3024
img_a13700b0632a,mar2020_014_2_2.jpg,mar2020,014,mar2020_014,mar2020_014_2,2,darkfield,mar2020/mar2020_images/mar2020_014_2_2.jpg,True,True,,9.092890739440918,155.04489135742188,56.04548645019531,0.0,245.0,2.2325479984283447,0.09885208695023148,4032,3024
img_234b594462d6,mar2020_015_0_0.jpg,mar2020,015,mar2020_015,mar2020_015_0,0,brightfield,mar2020/mar2020_images/mar2020_015_0_0.jpg,True,True,,68.33706665039062,50.25568771362305,52.316749572753906,3.0,255.0,5.946338176727295,0.05308702256944445,4032,3024
img_a8b49748cb67,mar2020_015_0_2.jpg,mar2020,015,mar2020_015,mar2020_015_0,0,darkfield,mar2020/mar2020_images/mar2020_015_0_2.jpg,True,True,,90.13355255126953,148.51036071777344,53.73957061767578,6.0,236.0,6.805020332336426,0.1206958912037037,4032,3024
img_53107494f641,mar2020_015_1_0.jpg,mar2020,015,mar2020_015,mar2020_015_1,1,brightfield,mar2020/mar2020_images/mar2020_015_1_0.jpg,True,True,,23.555641174316406,31.436195373535156,13.934061050415039,2.0,251.0,3.5463180541992188,0.028288664641203703,4032,3024
img_328534f1cba8,mar2020_015_1_2.jpg,mar2020,015,mar2020_015,mar2020_015_1,1,darkfield,mar2020/mar2020_images/mar2020_015_1_2.jpg,True,True,,46.82633972167969,155.23614501953125,51.827579498291016,2.0,237.0,5.015533924102783,0.11296477141203703,4032,3024
img_f5713e50ca82,mar2020_015_2_0.jpg,mar2020,015,mar2020_015,mar2020_015_2,2,brightfield,mar2020/mar2020_images/mar2020_015_2_0.jpg,True,True,,19.067129135131836,26.766971588134766,10.131766319274902,1.0,250.0,3.3370654582977295,0.027985749421296297,4032,3024
img_d61e0f2e7ffd,mar2020_015_2_2.jpg,mar2020,015,mar2020_015,mar2020_015_2,2,darkfield,mar2020/mar2020_images/mar2020_015_2_2.jpg,True,True,,33.64815139770508,151.03277587890625,58.54254913330078,0.0,241.0,4.5068840980529785,0.10873978226273148,4032,3024
img_b694211b6e27,mar2020_016_0_0.jpg,mar2020,016,mar2020_016,mar2020_016_0,0,brightfield,mar2020/mar2020_images/mar2020_016_0_0.jpg,True,True,,29.162294387817383,40.50736999511719,40.673057556152344,1.0,255.0,4.032662391662598,0.05350974754050926,4032,3024
img_b76e8e0fee4a,mar2020_016_0_2.jpg,mar2020,016,mar2020_016,mar2020_016_0,0,darkfield,mar2020/mar2020_images/mar2020_016_0_2.jpg,True,True,,50.81216049194336,149.89561462402344,54.78010559082031,0.0,247.0,5.72376012802124,0.10265209056712964,4032,3024
img_05e4df9dc97e,mar2020_016_1_0.jpg,mar2020,016,mar2020_016,mar2020_016_1,1,brightfield,mar2020/mar2020_images/mar2020_016_1_0.jpg,True,True,,18.980260848999023,19.181283950805664,6.824502944946289,0.0,247.0,2.807447910308838,0.01659252025462963,4032,3024
img_358cc515e06c,mar2020_016_1_2.jpg,mar2020,016,mar2020_016,mar2020_016_1,1,darkfield,mar2020/mar2020_images/mar2020_016_1_2.jpg,True,True,,31.51443099975586,165.7721405029297,48.20856475830078,0.0,243.0,4.020352363586426,0.09471752025462964,4032,3024
