path,record_type,issue,details
mar2020/mar2020_images/mar2020_019_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_019_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_019_0_0.jpg
mar2020/mar2020_images/mar2020_019_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_019_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_019_0_2.jpg
mar2020/mar2020_images/mar2020_019_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_019_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_019_1_0.jpg
mar2020/mar2020_images/mar2020_019_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_019_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_019_1_2.jpg
mar2020/mar2020_images/mar2020_019_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_019_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_019_2_0.jpg
mar2020/mar2020_images/mar2020_019_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_019_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_019_2_2.jpg
mar2020/mar2020_images/mar2020_020_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_020_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_020_0_0.jpg
mar2020/mar2020_images/mar2020_020_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_020_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_020_0_2.jpg
mar2020/mar2020_images/mar2020_020_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_020_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_020_1_0.jpg
mar2020/mar2020_images/mar2020_020_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_020_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_020_1_2.jpg
mar2020/mar2020_images/mar2020_020_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_020_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_020_2_0.jpg
mar2020/mar2020_images/mar2020_020_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_020_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_020_2_2.jpg
mar2020/mar2020_images/mar2020_021_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_021_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_021_0_0.jpg
mar2020/mar2020_images/mar2020_021_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_021_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_021_0_2.jpg
mar2020/mar2020_images/mar2020_021_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_021_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_021_1_0.jpg
mar2020/mar2020_images/mar2020_021_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_021_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_021_1_2.jpg
mar2020/mar2020_images/mar2020_021_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_021_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_021_2_0.jpg
mar2020/mar2020_images/mar2020_021_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_021_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_021_2_2.jpg
mar2020/mar2020_images/mar2020_022_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_022_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_022_0_0.jpg
mar2020/mar2020_images/mar2020_022_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_022_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_022_0_2.jpg
mar2020/mar2020_images/mar2020_022_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_022_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_022_1_0.jpg
mar2020/mar2020_images/mar2020_022_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_022_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_022_1_2.jpg
